"from","to","weight","coauthoring_count"
"GroenLinks","Volt",1.51417788493674,48
"GroenLinks","VVD",1.23934151137323e-05,27
"GroenLinks-PvdA","JA21",1e-06,0
"GroenLinks-PvdA","NSC",1e-06,0
"GroenLinks-PvdA","Omtzigt",1e-06,0
"GroenLinks-PvdA","PvdA",1e-06,0
"GroenLinks-PvdA","PvdD",1e-06,0
"GroenLinks-PvdA","PVV",1e-06,0
"GroenLinks-PvdA","SGP",1e-06,0
"GroenLinks-PvdA","SP",1e-06,0
"GroenLinks-PvdA","Volt",1e-06,0
"GroenLinks-PvdA","VVD",1e-06,0
"JA21","NSC",1e-06,0
"JA21","Omtzigt",0.251908555601952,11
"JA21","PvdA",-0.430348946409632,3
"JA21","PvdD",-0.474965240819109,3
"JA21","PVV",0.747335324773852,25
"JA21","SGP",0.584671751405967,24
"JA21","SP",-0.213774017296963,1
"JA21","Volt",-0.365283517062478,4
"JA21","VVD",0.171041521984775,24
"NSC","Omtzigt",1e-06,0
"NSC","PvdA",1e-06,0
"NSC","PvdD",1e-06,0
"NSC","PVV",1e-06,0
"NSC","SGP",1e-06,0
"NSC","SP",1e-06,0
"NSC","Volt",1e-06,0
"NSC","VVD",1e-06,0
"Omtzigt","PvdA",0.316044478815575,17
"Omtzigt","PvdD",0.183125101720675,15
"Omtzigt","PVV",0.0418401694239983,12
"Omtzigt","SGP",0.683199401560229,27
"Omtzigt","SP",0.293736331610837,34
"Omtzigt","Volt",0.361590279358583,12
"Omtzigt","VVD",0.216587322527783,4
"PvdA","PvdD",1.26692925341755,63
"PvdA","PVV",-0.373649072264255,25
"PvdA","SGP",0.172900534251837,17
"PvdA","SP",1.1051951861832,132
"PvdA","Volt",1.5160368972038,42
"PvdA","VVD",0.00187140568217527,39
"PvdD","PVV",-0.321596728786532,17
"PvdD","SGP",-0.0185777292555016,5
"PvdD","SP",1.23346703261044,59
"PvdD","Volt",1.15445901126033,22
"PvdD","VVD",-0.362494998661886,10
"PVV","SGP",0.264921641471383,32
"PVV","SP",-0.0520399500626093,22
"PVV","Volt",-0.40339326853724,1
"PVV","VVD",-0.240729695169355,36
"SGP","SP",0.137579301177667,6
"SGP","Volt",0.240754481999583,5
"SGP","VVD",0.666468291156675,51
"SP","Volt",1.00573802989541,11
"SP","VVD",-0.275121422109994,32
"Volt","VVD",0.0808794270322906,11
