"from","to","weight","agreement_rate","total_votes","width","color"
"SGP","JA21",566,0.729381443298969,776,2.37150837988827,"#80808014"
"JA21","SP",331,0.451568894952251,733,1.38687150837989,"#80808014"
"JA21","NSC",517,0.667958656330749,774,2.16620111731844,"#80808014"
"JA21","PVV",536,0.703412073490814,762,2.24581005586592,"#80808014"
"GroenLinks-PvdA","JA21",355,0.464052287581699,765,1.48743016759777,"#80808014"
"JA21","D66",408,0.540397350993377,755,1.70949720670391,"#80808014"
"VVD","JA21",521,0.715659340659341,728,2.18296089385475,"#80808014"
"FVD","JA21",515,0.679419525065963,758,2.15782122905028,"#80808014"
"JA21","BBB",570,0.75098814229249,759,2.38826815642458,"#80808014"
"PvdD","JA21",312,0.40625,768,1.3072625698324,"#80808014"
"JA21","ChristenUnie",468,0.610169491525424,767,1.9608938547486,"#80808014"
"GroenLinks-PvdA","GroenLinks-PvdA",0,0,24,0.5,"#80808014"
"NSC","NSC",0,0,24,0.5,"#80808014"
"VVD","VVD",0,0,15,0.5,"#80808014"
"PvdD","PvdD",0,0,7,0.5,"#80808014"
