"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"GroenLinks","SP",1.31282386379837,2795,0.836826347305389,3340,1.31282386379837,2.15641193189918,"#4D4D4DCC"
"GroenLinks","VVD",0.0236418251115788,1895,0.566347878063359,3346,0.0236418251115788,1.51182091255579,"#80808026"
"Volt","GroenLinks",1.71963241822842,3079,0.930773881499395,3308,1.71963241822842,2.35981620911421,"#4D4D4DCC"
"JA21","Groep Van Haga",1.13377080286965,2670,0.808600847970927,3302,1.13377080286965,2.06688540143482,"#4D4D4DCC"
"Omtzigt","Groep Van Haga",-0.0479793992599095,1845,0.559769417475728,3296,-0.0479793992599095,1.47601030037005,"#80808026"
"PVV","Groep Van Haga",1.02633896631241,2595,0.780920854649413,3323,1.02633896631241,2.01316948315621,"#4D4D4DCC"
"PvdA","Groep Van Haga",-0.523544329086591,1513,0.456547978273989,3314,-0.523544329086591,1.2382278354567,"#80808026"
"PvdD","Groep Van Haga",-0.496328263825426,1532,0.463119709794438,3308,-0.496328263825426,1.25183586808729,"#80808026"
"Groep Van Haga","SGP",0.526422820199426,2246,0.67834491090305,3311,0.526422820199426,1.76321141009971,"#80808026"
"SP","Groep Van Haga",-0.247086403012647,1706,0.513700692562481,3321,-0.247086403012647,1.37645679849368,"#80808026"
"VVD","Groep Van Haga",0.0938306249956373,1944,0.584485868911605,3326,0.0938306249956373,1.54691531249782,"#80808026"
"Volt","Groep Van Haga",-0.496328263825426,1532,0.464664846830452,3297,-0.496328263825426,1.25183586808729,"#80808026"
"Omtzigt","JA21",0.0723442576841908,1929,0.585965978128797,3292,0.0723442576841908,1.5361721288421,"#80808026"
"PVV","JA21",0.895988337956306,2504,0.756038647342995,3312,0.895988337956306,1.94799416897815,"#80808026"
"PvdA","JA21",-0.489166141388277,1537,0.464912280701754,3306,-0.489166141388277,1.25541692930586,"#80808026"
"PvdD","JA21",-0.557922516784906,1489,0.451622687291477,3297,-0.557922516784906,1.22103874160755,"#80808026"
"JA21","SGP",0.672530117917262,2348,0.710868907054193,3303,0.672530117917262,1.83626505895863,"#80808026"
"JA21","SP",-0.257113374424655,1699,0.513138024765932,3311,-0.257113374424655,1.37144331278767,"#80808026"
"JA21","VVD",0.272883685924358,2069,0.624321062160531,3314,0.272883685924358,1.63644184296218,"#80808026"
"Volt","JA21",-0.424707039453938,1582,0.48041299726693,3293,-0.424707039453938,1.28764648027303,"#80808026"
"Omtzigt","PVV",-0.0236281829736035,1862,0.563218390804598,3306,-0.0236281829736035,1.4881859085132,"#80808026"
"Omtzigt","PvdA",0.3230185429844,2104,0.637575757575758,3300,0.3230185429844,1.6615092714922,"#80808026"
"PvdD","Omtzigt",0.171181547316845,1998,0.606741573033708,3293,0.171181547316845,1.58559077365842,"#80808026"
"Omtzigt","SGP",0.645314052656097,2329,0.705971506517126,3299,0.645314052656097,1.82265702632805,"#80808026"
"Omtzigt","SP",0.25855944105006,2059,0.622995461422088,3305,0.25855944105006,1.62927972052503,"#80808026"
"Omtzigt","VVD",0.184073367703712,2007,0.60671100362757,3308,0.184073367703712,1.59203668385186,"#80808026"
"Omtzigt","Volt",0.377450673506731,2142,0.651261781696564,3289,0.377450673506731,1.68872533675337,"#80808026"
"PVV","SGP",0.414693710179905,2168,0.651638112413586,3327,0.414693710179905,1.70734685508995,"#80808026"
"PVV","SP",-0.000709391174727221,1878,0.562443845462713,3339,-0.000709391174727221,1.49964530441264,"#80808026"
"PVV","VVD",-0.109573652219389,1802,0.538714499252616,3345,-0.109573652219389,1.44521317389031,"#80808026"
"PVV","Volt",-0.381734304831045,1612,0.487450861808285,3307,-0.381734304831045,1.30913284758448,"#80808026"
"PVV","PvdA",-0.314410353921846,1659,0.497899159663866,3332,-0.314410353921846,1.34279482303908,"#80808026"
"PvdD","PvdA",1.50333632062653,2928,0.883524441762221,3314,1.50333632062653,2.25166816031326,"#4D4D4DCC"
"PvdA","SGP",0.247100045150622,2051,0.618143459915612,3318,0.247100045150622,1.62355002257531,"#80808026"
"PvdA","SP",1.30852659033608,2792,0.838438438438438,3330,1.30852659033608,2.15426329516804,"#4D4D4DCC"
"PvdA","VVD",0.0150472781870002,1889,0.566756675667567,3333,0.0150472781870002,1.5075236390935,"#80808026"
"PvdA","Volt",1.72249726720328,3081,0.933353529233566,3301,1.72249726720328,2.36124863360164,"#4D4D4DCC"
"PvdD","PVV",-0.302950958022408,1667,0.501202645820806,3326,-0.302950958022408,1.3485245209888,"#80808026"
"PvdD","SGP",0.0623172862721824,1922,0.579788838612368,3315,0.0623172862721824,1.53115864313609,"#80808026"
"PvdD","SP",1.42741782279275,2875,0.865182064399639,3323,1.42741782279275,2.21370891139637,"#4D4D4DCC"
"PvdD","VVD",-0.340193994695581,1641,0.493088942307692,3328,-0.340193994695581,1.32990300265221,"#80808026"
"PvdD","Volt",1.3672559943207,2833,0.859787556904401,3295,1.3672559943207,2.18362799716035,"#4D4D4DCC"
"SP","SGP",0.217019130914597,2030,0.610526315789474,3325,0.217019130914597,1.6085095654573,"#80808026"
"VVD","SGP",0.735556795364172,2392,0.718534094322619,3329,0.735556795364172,1.86777839768209,"#80808026"
"Volt","SGP",0.302964600160383,2090,0.633333333333333,3300,0.302964600160383,1.65148230008019,"#80808026"
"VVD","SP",-0.251383676474936,1703,0.509727626459144,3341,-0.251383676474936,1.37430816176253,"#80808026"
"Volt","SP",1.18820293339198,2708,0.819116757410768,3306,1.18820293339198,2.09410146669599,"#4D4D4DCC"
"Volt","VVD",0.0923982005082075,1943,0.587186461166516,3309,0.0923982005082075,1.5461991002541,"#80808026"
