"Metric","Pre","Post","Change_Pre_to_Post","PctChange_Pre_to_Post"
"Nodes",28,28,0,0
"Edges",226,123,-103,-45.575221238938
"Density",0.597883597883598,0.325396825396825,-0.272486772486772,-45.575221238938
"Mean Degree",16.1428571428571,8.78571428571429,-7.35714285714286,-45.575221238938
"Transitivity",0.984455958549223,0.867217280813215,-0.117238677736008,-11.9089814752892
"Avg Path Length",NA,NA,NA,NA
"Modularity",0.0351302638239109,0.0477094352490188,0.0125791714251079,35.807221625663
"Components",5,3,-2,-40
