"Metric","Pre_Election","Post_Formation"
"Nodes (parties)","21","21"
"Edges","150","110"
"Density","0.70","0.50"
"Mean Degree","14.3","10.5"
"Components","4","6"
"Mean Edge Weight","2,821","3,161"
