"Metric","Pre","Post","Change_Pre_to_Post","PctChange_Pre_to_Post"
"Nodes",25,17,-8,-32
"Edges",210,106,-104,-49.5238095238095
"Density",0.7,0.779411764705882,0.0794117647058823,11.344537815126
"Mean Degree",16.8,12.4705882352941,-4.32941176470588,-25.7703081232493
"Transitivity",1,0.989847715736041,-0.0101522842639594,-1.01522842639594
"Avg Path Length",NA,NA,NA,NA
"Modularity",0.035370019219065,0.0468152128180408,0.0114451935989758,32.3584602204758
"Components",5,2,-3,-60
