"Period","Duration_Days","Total_Votes","Unique_Motions","Active_Parties","Votes_per_Motion","Mean_Agreement_Rate_Pct"
"Pre-Election",364,81223,4758,18,17.1,75.7
"Post-Formation",365,78745,5009,16,15.7,73.7
