"Period","Total_Edges","Strong_Edges_Z1","Very_Strong_Z2","Pct_Strong","Mean_Z","SD_Z"
"Pre",210,28,1,13.3333333333333,-9.02717054546407e-17,1
"Post",106,21,0,19.811320754717,8.01245862111552e-17,1
